replica,N,T_K,E_Vpm,Tstar,Estar,rho_star,L_star,alpha_ewald,mean_Estar,sd_Estar_time,mean_mz,acceptance
3,20,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-925.9663787534507,27.249186987843718,0.7947673405813911,0.67284
4,20,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-937.8115474156192,36.08837099027746,0.843289088457186,0.67823
5,20,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-950.3068045389247,28.76754091030668,0.8661319970838329,0.67421997
6,20,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-931.099176040894,32.78877980718189,0.7977240960664035,0.6728
7,20,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,2.924017738212866,2.735961514682715,-933.2643886160869,32.66386620409181,0.8343066689755455,0.67056
0,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204984,2.015873679831797,-1957.4182265344755,45.38119239914786,-0.1489869851973185,0.674336
1,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204984,2.015873679831797,-1931.2584767153794,43.00407735862834,0.12594173579959284,0.677128
2,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204984,2.015873679831797,-1947.6751507016363,44.28921235161149,-0.18337213059474392,0.676604
3,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204984,2.015873679831797,-1980.0562136381968,41.49264210357744,0.4311714408884722,0.674528
4,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204984,2.015873679831797,-1945.569109148722,50.851701121350835,-0.14478805425069494,0.673916
5,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204984,2.015873679831797,-1924.2418727306551,39.1480254249854,0.0035876616097632336,0.678424
6,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204984,2.015873679831797,-1963.2405539967451,54.66067220262998,0.19923644918723288,0.672772
7,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204984,2.015873679831797,-1945.274071386552,44.18604377602941,0.18972530741354,0.676016
0,50,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2359.7131232262077,42.76939824430118,0.8481945110297153,0.668616
1,50,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2379.556178964873,53.47510908314227,0.8712167574239456,0.667968
2,50,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2408.9700645244657,45.15770327334641,0.8593675089410816,0.6611
3,50,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2390.6556001370245,48.78029647891212,0.8591110937273163,0.664088
4,50,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2370.497156650982,48.548999460784856,0.8507628593271072,0.669224
5,50,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2371.183481124589,46.361257399822755,0.8440223416869173,0.668092
6,50,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2409.6572629898374,46.95738465807096,0.8685880465649664,0.664204
7,50,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,3.9685026299204984,2.015873679831797,-2392.797963167537,52.08855375789647,0.8664084982132385,0.667696
0,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3890.988614505968,66.15331679378365,-0.007378618235644257,0.67739
1,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3884.1115277134422,61.74856668222126,-0.03670799607440482,0.674678
2,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3945.471782808241,58.315810998846835,-0.06879669992252777,0.67488
3,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3950.544530780877,60.64360390910875,-0.0019873857378881125,0.670194
4,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3892.641021575993,71.71691636184615,0.05818897224299852,0.67542
5,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3912.5176137711965,58.40554345247242,0.26598531537031134,0.676744
6,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3893.802415177542,73.18162087380385,0.13407734420040893,0.677396
7,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3921.173317068908,66.58062919765591,0.01850922043162705,0.675168
0,100,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4807.789087124722,75.41298800773136,0.8701223345791692,0.66737
1,100,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4818.44591605277,71.15395556254393,0.8642049673270992,0.664334
2,100,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4782.0713765736045,84.82939574960734,0.8582936318284485,0.666064
3,100,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4817.581704825525,71.43340048709338,0.8721513263659865,0.666506
4,100,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4806.5058731312465,72.07249812326968,0.8717227083901823,0.668834
5,100,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4837.699520110417,59.75116540851382,0.8756665278925898,0.665472
6,100,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4773.239594879479,70.79835658213817,0.8621641096731767,0.668084
7,100,273.0,1000000000.0,3.491163278956978,1.8084552985793738,0.8,4.999999999999999,1.6000000000000003,-4798.376459301741,63.84257705812904,0.8674240252957804,0.667408
0,20,293.0,0.0,3.746926156536244,0.0,0.8,2.924017738212866,2.735961514682715,-746.7524880690363,27.80777460471937,-0.25604189432938207,0.70057
1,20,293.0,0.0,3.746926156536244,0.0,0.8,2.924017738212866,2.735961514682715,-747.4304141960464,29.240472369455794,-0.2517279517330757,0.69364
