replica,N,T_K,E_Vpm_0,Tstar_0,Estar_0,rho_star_0,L_star_0,alpha_ewald_0,mean_Estar_0,sd_Estar_time_0,mean_mz_0,acceptance_0,E_Vpm_E,Tstar_E,Estar_E,rho_star_E,L_star_E,alpha_ewald_E,mean_Estar_E,sd_Estar_time_E,mean_mz_E,acceptance_E,delta_E,pct_change,lower_energy
0,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204975,2.015873679831797,-1957.4182265344757,45.38119239914786,-0.1489869851973185,0.674336,1000000000.0,3.491163278956978,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2359.713123226208,42.76939824430118,0.8481945110297153,0.668616,-402.29489669173245,20.552321994261703,True
1,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204975,2.015873679831797,-1931.2584767153796,43.00407735862834,0.1259417357995928,0.677128,1000000000.0,3.491163278956978,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2379.556178964873,53.47510908314227,0.8712167574239456,0.667968,-448.29770224949357,23.21272412028158,True
2,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204975,2.015873679831797,-1947.6751507016363,44.28921235161149,-0.1833721305947439,0.676604,1000000000.0,3.491163278956978,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2408.9700645244657,45.15770327334641,0.8593675089410816,0.6611,-461.29491382282936,23.684386672831508,True
3,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204975,2.015873679831797,-1980.0562136381968,41.49264210357744,0.4311714408884722,0.674528,1000000000.0,3.491163278956978,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2390.6556001370245,48.78029647891212,0.8591110937273163,0.664088,-410.5993864988277,20.736754020956997,True
4,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204975,2.015873679831797,-1945.569109148722,50.85170112135084,-0.1447880542506949,0.673916,1000000000.0,3.491163278956978,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2370.497156650982,48.548999460784856,0.8507628593271072,0.669224,-424.92804750226014,21.840809740661754,True
5,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204975,2.015873679831797,-1924.2418727306551,39.1480254249854,0.0035876616097632,0.678424,1000000000.0,3.491163278956978,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2371.183481124589,46.36125739982276,0.8440223416869173,0.668092,-446.94160839393385,23.226893392548803,True
6,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204975,2.015873679831797,-1963.240553996745,54.66067220262998,0.1992364491872328,0.672772,1000000000.0,3.491163278956978,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2409.6572629898374,46.95738465807096,0.8685880465649664,0.664204,-446.41670899309247,22.7387677014048,True
7,50,273.0,0.0,3.491163278956978,0.0,0.8,3.9685026299204975,2.015873679831797,-1945.274071386552,44.18604377602941,0.18972530741354,0.676016,1000000000.0,3.491163278956978,1.8084552985793736,0.8,3.9685026299204975,2.015873679831797,-2392.797963167537,52.08855375789647,0.8664084982132385,0.667696,-447.5238917809852,23.0056987014688,True
0,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3890.988614505968,66.15331679378365,-0.0073786182356442,0.67739,1000000000.0,3.491163278956978,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4807.789087124722,75.41298800773136,0.8701223345791692,0.66737,-916.8004726187537,23.56214739875712,True
1,100,273.0,0.0,3.491163278956978,0.0,0.8,4.999999999999999,1.6000000000000003,-3884.111527713442,61.74856668222126,-0.0367079960744048,0.674678,1000000000.0,3.491163278956978,1.8084552985793736,0.8,4.999999999999999,1.6000000000000003,-4818.44591605277,71.15395556254393,0.8642049673270992,0.664334,-934.3343883393286,24.055292482535044,True
